Name,Year,Arrivals
Αυστρία,2011,310357
Βέλγιο,2011,432624
Βουλγαρία,2011,686208
Γαλλία,2011,1149388
Γερμανία,2011,2240480
Δανία,2011,244985
Εσθονία,2011,9862
Ην. Βασίλειο,2011,1758092
Ιρλανδία,2011,58939
Ισπανία,2011,154773
Ιταλία,2011,938231
Κύπρος,2011,439756
Λεττονία,2011,7846
Λιθουανία,2011,13665
Λουξεμβούργο,2011,28474
Μάλτα,2011,1368
Ολλανδία,2011,560722
Ουγγαρία,2011,69755
Πολωνία,2011,450617
Πορτογαλία,2011,34641
Ρουμανία,2011,223699
Σλοβακία,2011,41788
Σλοβενία,2011,31130
Σουηδία,2011,333905
Τσεχία,2011,309061
Φινλανδία,2011,167632
Αλβανία,2011,411245
Ελβετία,2011,361404
Νορβηγία,2011,226627
Ισλανδία,2011,0
Ρωσία,2011,738927
Σερβία - Μαυροβούνιο,2011,692058
Ιαπωνία,2011,10124
Ιράν,2011,8747
Ισραήλ,2011,226110
Κίνα,2011,15837
Λίβανος - Συρία,2011,4916
Ν. Κορέα,2011,1845
Τουρκία,2011,552090
Λοιπά κράτη Μ. Ανατολής,2011,18398
Αίγυπτος - Σουδάν,2011,4675
Νοτιοαφρικανική Ενωση,2011,21981
Αργεντινή,2011,13834
Βραζιλία,2011,52118
Μεξικό,2011,5531
Η.Π.Α.,2011,484707
Καναδάς,2011,142286
Αυστραλία,2011,115902
Αυστρία,2012,236416
Βέλγιο,2012,326936
Βουλγαρία,2012,599110
Γαλλία,2012,977376
Γερμανία,2012,2108787
Δανία,2012,205193
Εσθονία,2012,4756
Ην. Βασίλειο,2012,1920793
Ιρλανδία,2012,32357
Ισπανία,2012,155721
Ιταλία,2012,848072
Κύπρος,2012,424826
Λεττονία,2012,15299
Λιθουανία,2012,21600
Λουξεμβούργο,2012,15191
Μάλτα,2012,2206
Ολλανδία,2012,478483
Ουγγαρία,2012,69788
Πολωνία,2012,254682
Πορτογαλία,2012,20483
Ρουμανία,2012,230395
Σλοβακία,2012,44782
Σλοβενία,2012,35721
Σουηδία,2012,319755
Τσεχία,2012,289034
Φινλανδία,2012,154133
Αλβανία,2012,469212
Ελβετία,2012,299619
Νορβηγία,2012,294113
Ισλανδία,2012,2059
Ρωσία,2012,874786
Σερβία - Μαυροβούνιο,2012,620450
Ιαπωνία,2012,8840
Ιράν,2012,13631
Ισραήλ,2012,207710
Κίνα,2012,12202
Λίβανος - Συρία,2012,12846
Ν. Κορέα,2012,6100
Τουρκία,2012,602305
Λοιπά κράτη Μ. Ανατολής,2012,18061
Αίγυπτος - Σουδάν,2012,4723
Νοτιοαφρικανική Ενωση,2012,19685
Αργεντινή,2012,20206
Βραζιλία,2012,31124
Μεξικό,2012,8067
Η.Π.Α.,2012,373830
Καναδάς,2012,102693
Αυστραλία,2012,117852
Αυστρία,2013,236476
Βέλγιο,2013,344553
Βουλγαρία,2013,691873
Γαλλία,2013,1152217
Γερμανία,2013,2267546
Δανία,2013,202477
Εσθονία,2013,8093
Ην. Βασίλειο,2013,1846332
Ιρλανδία,2013,42575
Ισπανία,2013,91987
Ιταλία,2013,964315
Κροατία (2),2013,4381
Κύπρος,2013,399007
Λεττονία,2013,20282
Λιθουανία,2013,31873
Λουξεμβούργο,2013,20497
Μάλτα,2013,1493
Ολλανδία,2013,580867
Ουγγαρία,2013,80622
Πολωνία,2013,385473
Πορτογαλία,2013,13303
Ρουμανία,2013,278873
Σλοβακία,2013,46260
Σλοβενία,2013,18689
Σουηδία,2013,368834
Τσεχία,2013,286974
Φινλανδία,2013,139340
Αλβανία,2013,504809
Ελβετία,2013,346518
Νορβηγία,2013,264815
Ισλανδία,2013,1577
Ρωσία,2013,1352901
Σερβία ,2013,778765
Ιαπωνία,2013,13141
Ιράν,2013,5242
Ισραήλ,2013,212466
Κίνα,2013,28328
Λίβανος - Συρία,2013,36591
Ν. Κορέα,2013,7307
Τουρκία,2013,831113
Λοιπά κράτη Μ. Ανατολής,2013,32220
Αίγυπτος - Σουδάν,2013,4036
Νοτιοαφρικανική Ενωση,2013,17644
Αργεντινή,2013,25488
Βραζιλία,2013,27354
Μεξικό,2013,19862
Η.Π.Α.,2013,466519
Καναδάς,2013,186701
Αυστραλία,2013,129111
