Year,Quarter,By_Plane,By_Train,By_Ship,By_Car,Sum
2011,1,543055,3765,102591,458976,1108387
2011,2,3101874,0,228834,865060,4195768
2011,3,6508647,0,497301,1919751,8925699
2011,4,1517577,0,119121,560691,2197392
2012,1,451582,0,87683,439287,978557
2012,2,2906975,0,146336,795930,3849243
2012,3,6298467,0,432243,1924472,8655184
2012,4,1335872,0,124200,574554,2034632
2013,1,433046,0,85953,504350,1023353
2013,2,3205228,0,148030,1044215,4397475
2013,3,7085962,0,451451,2575660,10113075
2013,4,1578207,0,121522,685941,2385672
